FPR,TPR,Threshold
0.0,0.0,1.9533226773975558
0.0,0.010752688172043012,0.9533226773975558
0.0,0.053763440860215055,0.9292789400455281
0.020833333333333332,0.053763440860215055,0.9188570902319928
0.020833333333333332,0.12903225806451613,0.8790487895703718
0.041666666666666664,0.12903225806451613,0.8682770027304265
0.041666666666666664,0.17204301075268819,0.8540138079276209
0.08333333333333333,0.17204301075268819,0.8502549954647105
0.08333333333333333,0.1935483870967742,0.8420961336634367
0.10416666666666667,0.1935483870967742,0.8402994439839107
0.10416666666666667,0.25806451612903225,0.8295571623104118
0.14583333333333334,0.25806451612903225,0.827444899222678
0.14583333333333334,0.3118279569892473,0.8250424975528516
0.16666666666666666,0.3118279569892473,0.823835957823411
0.16666666666666666,0.3655913978494624,0.8164951781655742
0.20833333333333334,0.3655913978494624,0.8144790268115566
0.20833333333333334,0.40860215053763443,0.8125928216880597
0.22916666666666666,0.40860215053763443,0.8122464892976962
0.22916666666666666,0.41935483870967744,0.8119433929401284
0.2708333333333333,0.41935483870967744,0.8113575620410766
0.2708333333333333,0.5268817204301075,0.7999415466738123
0.2916666666666667,0.5268817204301075,0.7961977855504413
0.2916666666666667,0.5913978494623656,0.7901372845013257
0.3333333333333333,0.5913978494623656,0.7888006575707228
0.3333333333333333,0.6021505376344086,0.7865462197909532
0.3541666666666667,0.6021505376344086,0.7843067413774891
0.3541666666666667,0.7419354838709677,0.7627156108107753
0.375,0.7419354838709677,0.7607264142898313
0.375,0.7634408602150538,0.7457945247692811
0.3958333333333333,0.7634408602150538,0.7451986248262221
0.3958333333333333,0.7741935483870968,0.7353615533563345
0.4166666666666667,0.7741935483870968,0.7329505318101446
0.4166666666666667,0.7956989247311828,0.7245768952711408
0.4375,0.7956989247311828,0.7166173418310572
0.4375,0.8494623655913979,0.6922659294562798
0.4583333333333333,0.8494623655913979,0.6920580346874489
0.4583333333333333,0.8602150537634409,0.6790388704911795
0.4791666666666667,0.8602150537634409,0.6781519791198686
0.4791666666666667,1.0,0.5362896955362642
1.0,1.0,0.09118842592929434
